MAKEDEV.x86_64                             3.24-6.el6
groff.x86_64                               1.18.1.4-21.el6
grub.x86_64                                1:0.97-94.el6_7.1
grubby.x86_64                              7.0.15-7.el6
gzip.x86_64                                1.3.12-22.el6
hwdata.noarch                              0.233-16.1.el6
info.x86_64                                4.13a-8.el6
initscripts.x86_64                         9.03.53-1.el6.centos.2
iproute.x86_64                             2.6.32-54.el6
iptables.x86_64                            1.4.7-16.el6
iptables-ipv6.x86_64                       1.4.7-16.el6
iputils.x86_64                             20071127-21.el6
iscsi-initiator-utils.x86_64               6.2.0.873-22.el6_8
iso-codes.noarch                           3.16-2.el6
jq.x86_64                                  1.3-2.el6
kbd.x86_64                                 1.15-11.el6
kbd-misc.noarch                            1.15-11.el6
kernel.x86_64                              2.6.32-642.13.1.el6
kernel.x86_64                              2.6.32-642.15.1.el6
kernel-devel.x86_64                        2.6.32-642.15.1.el6
kernel-firmware.noarch                     2.6.32-642.15.1.el6
kernel-headers.x86_64                      2.6.32-642.15.1.el6
kexec-tools.x86_64                         2.0.0-300.el6_8.2
keyutils-libs.x86_64                       1.4-5.el6
kpartx.x86_64                              0.4.9-93.el6
krb5-libs.x86_64                           1.10.3-57.el6
less.x86_64                                436-13.el6
libacl.x86_64                              2.2.49-6.el6
libaio.x86_64                              0.3.107-10.el6
libattr.x86_64                             2.4.44-7.el6
libblkid.x86_64                            2.17.2-12.24.el6_8.3
libcap.x86_64                              2.16-5.5.el6
libcap-ng.x86_64                           0.6.4-3.el6_0.1
libcgroup.x86_64                           0.40.rc1-18.el6_8
libcom_err.x86_64                          1.41.12-22.el6
libcurl.x86_64                             7.19.7-52.el6
libdrm.x86_64                              2.4.65-2.el6
libedit.x86_64                             2.11-4.20080712cvs.1.el6
libffi.x86_64                              3.0.5-3.2.el6
libgcc.x86_64                              4.4.7-17.el6
libgcrypt.x86_64                           1.4.5-12.el6_8
libgcrypt-devel.x86_64                     1.4.5-12.el6_8
libgomp.x86_64                             4.4.7-17.el6
libgpg-error.x86_64                        1.7-4.el6
libgpg-error-devel.x86_64                  1.7-4.el6
libidn.x86_64                              1.18-2.el6
libnih.x86_64                              1.0.1-7.el6
libpcap.x86_64                             14:1.4.0-4.20130826git2dbcaa1.el6
libpciaccess.x86_64                        0.13.4-1.el6
libselinux.x86_64                          2.0.94-7.el6
libselinux-python.x86_64                   2.0.94-7.el6
libselinux-utils.x86_64                    2.0.94-7.el6
libsemanage.x86_64                         2.0.43-5.1.el6
libsemanage-python.x86_64                  2.0.43-5.1.el6
libsepol.x86_64                            2.0.41-4.el6
libss.x86_64                               1.41.12-22.el6
libssh2.x86_64                             1.4.2-2.el6_7.1
libstdc++.x86_64                           4.4.7-17.el6
libstdc++-devel.x86_64                     4.4.7-17.el6
libtasn1.x86_64                            2.3-6.el6_5
libudev.x86_64                             147-2.73.el6_8.2
libusb.x86_64                              0.1.12-23.el6
libusb1.x86_64                             1.0.9-0.7.rc1.el6
libuser.x86_64                             0.56.13-8.el6_7
libutempter.x86_64                         1.1.5-4.1.el6
